creative_id,ad_campaign_id,creative_name,creative_type,creative_theme,creative_status
CR0000039,ADC00008,素材ADC00008-1,图文,情绪共鸣,active
CR0000040,ADC00008,素材ADC00008-2,短视频,达人推荐,active
CR0000041,ADC00008,素材ADC00008-3,短视频,达人推荐,active
CR0000042,ADC00008,素材ADC00008-4,短视频,热点跟拍,active
CR0000043,ADC00008,素材ADC00008-5,短视频,功能卖点,active
CR0000044,ADC00008,素材ADC00008-6,短视频,情绪共鸣,active
CR0000045,ADC00009,素材ADC00009-1,图文,情绪共鸣,active
CR0000046,ADC00009,素材ADC00009-2,图文,达人推荐,paused
CR0000047,ADC00010,素材ADC00010-1,图文,情绪共鸣,paused
CR0000048,ADC00010,素材ADC00010-2,短视频,达人推荐,active
CR0000049,ADC00010,素材ADC00010-3,短视频,情绪共鸣,active
CR0000050,ADC00010,素材ADC00010-4,短视频,功能卖点,active
CR0000051,ADC00010,素材ADC00010-5,短视频,达人推荐,active
CR0000052,ADC00010,素材ADC00010-6,开屏,情绪共鸣,active
CR0000053,ADC00011,素材ADC00011-1,短视频,情绪共鸣,active
CR0000054,ADC00011,素材ADC00011-2,短视频,热点跟拍,paused
CR0000055,ADC00011,素材ADC00011-3,短视频,热点跟拍,active
CR0000056,ADC00012,素材ADC00012-1,短视频,热点跟拍,active
CR0000057,ADC00012,素材ADC00012-2,短视频,热点跟拍,active
CR0000058,ADC00012,素材ADC00012-3,短视频,热点跟拍,active
CR0000059,ADC00013,素材ADC00013-1,短视频,情绪共鸣,paused
CR0000060,ADC00013,素材ADC00013-2,开屏,功能卖点,active
CR0000061,ADC00013,素材ADC00013-3,短视频,情绪共鸣,active
CR0000062,ADC00014,素材ADC00014-1,短视频,功能卖点,active
CR0000063,ADC00014,素材ADC00014-2,短视频,功能卖点,active
CR0000064,ADC00014,素材ADC00014-3,短视频,功能卖点,paused
CR0000065,ADC00014,素材ADC00014-4,短视频,达人推荐,active
CR0000066,ADC00015,素材ADC00015-1,短视频,情绪共鸣,active
CR0000067,ADC00015,素材ADC00015-2,图文,达人推荐,active
CR0000068,ADC00015,素材ADC00015-3,短视频,情绪共鸣,active
CR0000069,ADC00016,素材ADC00016-1,短视频,情绪共鸣,active
CR0000070,ADC00016,素材ADC00016-2,图文,情绪共鸣,active
CR0000071,ADC00016,素材ADC00016-3,短视频,达人推荐,active
CR0000072,ADC00016,素材ADC00016-4,短视频,达人推荐,active
CR0000073,ADC00016,素材ADC00016-5,短视频,热点跟拍,active
CR0000074,ADC00017,素材ADC00017-1,短视频,达人推荐,active
CR0000075,ADC00017,素材ADC00017-2,短视频,达人推荐,active
CR0000076,ADC00017,素材ADC00017-3,短视频,功能卖点,active
CR0000077,ADC00017,素材ADC00017-4,短视频,热点跟拍,active
CR0000078,ADC00017,素材ADC00017-5,短视频,功能卖点,active
CR0000079,ADC00018,素材ADC00018-1,短视频,情绪共鸣,paused
CR0000080,ADC00018,素材ADC00018-2,图文,功能卖点,paused
CR0000081,ADC00018,素材ADC00018-3,开屏,热点跟拍,active
CR0000082,ADC00018,素材ADC00018-4,短视频,情绪共鸣,active
CR0000083,ADC00018,素材ADC00018-5,短视频,功能卖点,paused
CR0000084,ADC00019,素材ADC00019-1,开屏,功能卖点,active
CR0000085,ADC00019,素材ADC00019-2,短视频,功能卖点,paused
CR0000086,ADC00019,素材ADC00019-3,短视频,情绪共鸣,active
CR0000087,ADC00019,素材ADC00019-4,短视频,热点跟拍,paused
CR0000088,ADC00019,素材ADC00019-5,短视频,达人推荐,active
CR0000089,ADC00020,素材ADC00020-1,短视频,情绪共鸣,active
CR0000090,ADC00020,素材ADC00020-2,短视频,功能卖点,active
CR0000091,ADC00021,素材ADC00021-1,图文,功能卖点,active
CR0000092,ADC00021,素材ADC00021-2,短视频,情绪共鸣,active
CR0000093,ADC00021,素材ADC00021-3,短视频,功能卖点,active
CR0000094,ADC00021,素材ADC00021-4,图文,达人推荐,active
CR0000095,ADC00022,素材ADC00022-1,短视频,情绪共鸣,active
CR0000096,ADC00022,素材ADC00022-2,图文,热点跟拍,active
CR0000097,ADC00022,素材ADC00022-3,短视频,情绪共鸣,active
CR0000098,ADC00022,素材ADC00022-4,短视频,功能卖点,active
CR0000099,ADC00022,素材ADC00022-5,短视频,达人推荐,active
CR0000100,ADC00022,素材ADC00022-6,短视频,达人推荐,active
CR0000101,ADC00023,素材ADC00023-1,短视频,功能卖点,active
CR0000102,ADC00023,素材ADC00023-2,短视频,功能卖点,active
CR0000103,ADC00024,素材ADC00024-1,图文,功能卖点,active
CR0000104,ADC00024,素材ADC00024-2,短视频,热点跟拍,active
CR0000105,ADC00024,素材ADC00024-3,图文,达人推荐,active
CR0000106,ADC00025,素材ADC00025-1,短视频,功能卖点,active
CR0000107,ADC00025,素材ADC00025-2,短视频,功能卖点,active
CR0000108,ADC00025,素材ADC00025-3,短视频,达人推荐,active
CR0000109,ADC00025,素材ADC00025-4,图文,情绪共鸣,active
CR0000110,ADC00025,素材ADC00025-5,图文,热点跟拍,active
CR0000111,ADC00026,素材ADC00026-1,图文,情绪共鸣,active
CR0000112,ADC00026,素材ADC00026-2,短视频,热点跟拍,active
CR0000113,ADC00027,素材ADC00027-1,短视频,情绪共鸣,active
CR0000114,ADC00027,素材ADC00027-2,图文,功能卖点,active
CR0000115,ADC00027,素材ADC00027-3,短视频,情绪共鸣,active
CR0000116,ADC00027,素材ADC00027-4,图文,达人推荐,paused
CR0000117,ADC00027,素材ADC00027-5,开屏,功能卖点,active
CR0000118,ADC00028,素材ADC00028-1,短视频,情绪共鸣,active
CR0000119,ADC00028,素材ADC00028-2,图文,情绪共鸣,active
CR0000120,ADC00028,素材ADC00028-3,短视频,达人推荐,active
CR0000121,ADC00028,素材ADC00028-4,图文,功能卖点,active
CR0000122,ADC00028,素材ADC00028-5,图文,达人推荐,active
CR0000123,ADC00028,素材ADC00028-6,短视频,情绪共鸣,active
CR0000124,ADC00029,素材ADC00029-1,图文,达人推荐,active
CR0000125,ADC00029,素材ADC00029-2,短视频,热点跟拍,active
CR0000126,ADC00029,素材ADC00029-3,图文,热点跟拍,active
CR0000127,ADC00029,素材ADC00029-4,图文,达人推荐,active
CR0000128,ADC00029,素材ADC00029-5,短视频,情绪共鸣,active
CR0000129,ADC00029,素材ADC00029-6,短视频,情绪共鸣,active
CR0000130,ADC00030,素材ADC00030-1,短视频,热点跟拍,active
CR0000131,ADC00030,素材ADC00030-2,短视频,情绪共鸣,active
CR0000132,ADC00031,素材ADC00031-1,短视频,功能卖点,active
CR0000133,ADC00031,素材ADC00031-2,图文,功能卖点,active
CR0000134,ADC00031,素材ADC00031-3,短视频,情绪共鸣,active
CR0000135,ADC00031,素材ADC00031-4,图文,达人推荐,active
CR0000136,ADC00031,素材ADC00031-5,短视频,情绪共鸣,active
CR0000137,ADC00031,素材ADC00031-6,短视频,达人推荐,active
CR0000138,ADC00032,素材ADC00032-1,图文,达人推荐,paused
CR0000139,ADC00032,素材ADC00032-2,图文,达人推荐,active
CR0000140,ADC00033,素材ADC00033-1,短视频,功能卖点,active
CR0000141,ADC00033,素材ADC00033-2,短视频,功能卖点,active
CR0000142,ADC00033,素材ADC00033-3,图文,情绪共鸣,paused
CR0000143,ADC00033,素材ADC00033-4,短视频,达人推荐,active
CR0000144,ADC00033,素材ADC00033-5,开屏,热点跟拍,paused
CR0000145,ADC00034,素材ADC00034-1,图文,功能卖点,active
CR0000146,ADC00034,素材ADC00034-2,短视频,情绪共鸣,active
CR0000147,ADC00034,素材ADC00034-3,短视频,功能卖点,active
CR0000148,ADC00035,素材ADC00035-1,短视频,情绪共鸣,active
CR0000149,ADC00035,素材ADC00035-2,短视频,达人推荐,active
CR0000150,ADC00035,素材ADC00035-3,短视频,功能卖点,active
CR0000151,ADC00035,素材ADC00035-4,短视频,达人推荐,paused
CR0000152,ADC00035,素材ADC00035-5,图文,热点跟拍,active
CR0000153,ADC00036,素材ADC00036-1,短视频,热点跟拍,active
CR0000154,ADC00036,素材ADC00036-2,短视频,情绪共鸣,active
CR0000155,ADC00037,素材ADC00037-1,图文,情绪共鸣,active
CR0000156,ADC00037,素材ADC00037-2,图文,情绪共鸣,active
CR0000157,ADC00037,素材ADC00037-3,短视频,达人推荐,active
CR0000158,ADC00037,素材ADC00037-4,短视频,情绪共鸣,active
CR0000159,ADC00038,素材ADC00038-1,短视频,情绪共鸣,active
CR0000160,ADC00038,素材ADC00038-2,短视频,情绪共鸣,paused
CR0000161,ADC00039,素材ADC00039-1,短视频,情绪共鸣,active
CR0000162,ADC00039,素材ADC00039-2,图文,情绪共鸣,paused
CR0000163,ADC00039,素材ADC00039-3,短视频,热点跟拍,active
CR0000164,ADC00040,素材ADC00040-1,图文,情绪共鸣,active
CR0000165,ADC00040,素材ADC00040-2,短视频,达人推荐,paused
CR0000166,ADC00040,素材ADC00040-3,短视频,情绪共鸣,active
CR0000167,ADC00040,素材ADC00040-4,短视频,达人推荐,active
CR0000168,ADC00040,素材ADC00040-5,图文,热点跟拍,active
CR0000169,ADC00040,素材ADC00040-6,短视频,热点跟拍,active
CR0000170,ADC00041,素材ADC00041-1,图文,功能卖点,active
CR0000171,ADC00041,素材ADC00041-2,短视频,情绪共鸣,active
CR0000172,ADC00042,素材ADC00042-1,图文,热点跟拍,active
CR0000173,ADC00042,素材ADC00042-2,图文,达人推荐,paused
CR0000174,ADC00042,素材ADC00042-3,图文,情绪共鸣,active
CR0000175,ADC00042,素材ADC00042-4,图文,情绪共鸣,active
CR0000176,ADC00042,素材ADC00042-5,短视频,情绪共鸣,active
CR0000177,ADC00042,素材ADC00042-6,短视频,情绪共鸣,active
CR0000178,ADC00043,素材ADC00043-1,短视频,达人推荐,active
CR0000179,ADC00043,素材ADC00043-2,图文,功能卖点,active
CR0000180,ADC00043,素材ADC00043-3,短视频,功能卖点,active
CR0000181,ADC00043,素材ADC00043-4,短视频,功能卖点,active
CR0000182,ADC00043,素材ADC00043-5,图文,情绪共鸣,active
CR0000183,ADC00043,素材ADC00043-6,图文,功能卖点,active
CR0000184,ADC00044,素材ADC00044-1,图文,达人推荐,active
CR0000185,ADC00044,素材ADC00044-2,短视频,情绪共鸣,active
CR0000186,ADC00044,素材ADC00044-3,短视频,达人推荐,active
CR0000187,ADC00045,素材ADC00045-1,短视频,功能卖点,active
CR0000188,ADC00045,素材ADC00045-2,短视频,情绪共鸣,active
CR0000189,ADC00045,素材ADC00045-3,图文,情绪共鸣,active
CR0000190,ADC00045,素材ADC00045-4,短视频,热点跟拍,active
CR0000191,ADC00045,素材ADC00045-5,短视频,热点跟拍,active
CR0000192,ADC00046,素材ADC00046-1,短视频,功能卖点,active
CR0000193,ADC00046,素材ADC00046-2,图文,功能卖点,active
CR0000194,ADC00046,素材ADC00046-3,短视频,热点跟拍,active
CR0000195,ADC00046,素材ADC00046-4,短视频,热点跟拍,active
CR0000196,ADC00046,素材ADC00046-5,短视频,功能卖点,active
CR0000197,ADC00046,素材ADC00046-6,短视频,功能卖点,active
CR0000198,ADC00047,素材ADC00047-1,短视频,达人推荐,active
CR0000199,ADC00047,素材ADC00047-2,短视频,功能卖点,active
CR0000200,ADC00047,素材ADC00047-3,图文,热点跟拍,active
CR0000201,ADC00047,素材ADC00047-4,图文,功能卖点,active
CR0000202,ADC00048,素材ADC00048-1,短视频,达人推荐,active
CR0000203,ADC00048,素材ADC00048-2,短视频,达人推荐,active
CR0000204,ADC00048,素材ADC00048-3,短视频,情绪共鸣,active
CR0000205,ADC00048,素材ADC00048-4,短视频,功能卖点,active
CR0000206,ADC00048,素材ADC00048-5,短视频,情绪共鸣,active
CR0000207,ADC00049,素材ADC00049-1,短视频,热点跟拍,active
CR0000208,ADC00049,素材ADC00049-2,短视频,达人推荐,active
CR0000209,ADC00049,素材ADC00049-3,短视频,功能卖点,active
CR0000210,ADC00049,素材ADC00049-4,短视频,功能卖点,active
CR0000211,ADC00049,素材ADC00049-5,图文,功能卖点,active
CR0000212,ADC00049,素材ADC00049-6,短视频,热点跟拍,active
CR0000213,ADC00050,素材ADC00050-1,短视频,热点跟拍,active
CR0000214,ADC00050,素材ADC00050-2,短视频,热点跟拍,active
CR0000215,ADC00050,素材ADC00050-3,短视频,情绪共鸣,active
CR0000216,ADC00050,素材ADC00050-4,短视频,热点跟拍,active
CR0000217,ADC00050,素材ADC00050-5,短视频,情绪共鸣,paused
CR0000218,ADC00050,素材ADC00050-6,短视频,达人推荐,active
CR0000219,ADC00051,素材ADC00051-1,开屏,功能卖点,active
CR0000220,ADC00051,素材ADC00051-2,短视频,功能卖点,active
CR0000221,ADC00052,素材ADC00052-1,短视频,情绪共鸣,active
CR0000222,ADC00052,素材ADC00052-2,短视频,达人推荐,active
CR0000223,ADC00052,素材ADC00052-3,短视频,功能卖点,active
CR0000224,ADC00052,素材ADC00052-4,短视频,达人推荐,active
CR0000225,ADC00053,素材ADC00053-1,短视频,情绪共鸣,active
CR0000226,ADC00053,素材ADC00053-2,短视频,热点跟拍,active
CR0000227,ADC00053,素材ADC00053-3,短视频,功能卖点,active
CR0000228,ADC00053,素材ADC00053-4,短视频,情绪共鸣,active
CR0000229,ADC00053,素材ADC00053-5,短视频,达人推荐,paused
CR0000230,ADC00053,素材ADC00053-6,短视频,功能卖点,active
CR0000231,ADC00054,素材ADC00054-1,短视频,情绪共鸣,active
CR0000232,ADC00054,素材ADC00054-2,短视频,达人推荐,active
CR0000233,ADC00054,素材ADC00054-3,短视频,热点跟拍,active
CR0000234,ADC00054,素材ADC00054-4,短视频,热点跟拍,active
CR0000235,ADC00055,素材ADC00055-1,短视频,情绪共鸣,active
CR0000236,ADC00055,素材ADC00055-2,短视频,功能卖点,active
CR0000237,ADC00055,素材ADC00055-3,短视频,情绪共鸣,active
CR0000238,ADC00055,素材ADC00055-4,短视频,情绪共鸣,paused
CR0000239,ADC00055,素材ADC00055-5,图文,功能卖点,active
CR0000240,ADC00056,素材ADC00056-1,短视频,达人推荐,paused
CR0000241,ADC00056,素材ADC00056-2,短视频,情绪共鸣,paused
CR0000242,ADC00056,素材ADC00056-3,短视频,功能卖点,paused
CR0000243,ADC00056,素材ADC00056-4,短视频,功能卖点,paused
CR0000244,ADC00057,素材ADC00057-1,短视频,功能卖点,paused
CR0000245,ADC00057,素材ADC00057-2,短视频,达人推荐,active
CR0000246,ADC00057,素材ADC00057-3,短视频,功能卖点,active
CR0000247,ADC00057,素材ADC00057-4,短视频,情绪共鸣,active
CR0000248,ADC00057,素材ADC00057-5,短视频,热点跟拍,active
CR0000249,ADC00057,素材ADC00057-6,短视频,达人推荐,active
CR0000250,ADC00058,素材ADC00058-1,图文,情绪共鸣,active
CR0000251,ADC00058,素材ADC00058-2,短视频,情绪共鸣,active
CR0000252,ADC00058,素材ADC00058-3,图文,功能卖点,active
CR0000253,ADC00059,素材ADC00059-1,短视频,热点跟拍,active
CR0000254,ADC00059,素材ADC00059-2,短视频,功能卖点,active
CR0000255,ADC00059,素材ADC00059-3,短视频,达人推荐,active
CR0000256,ADC00059,素材ADC00059-4,开屏,热点跟拍,active
CR0000257,ADC00059,素材ADC00059-5,开屏,热点跟拍,active
CR0000258,ADC00059,素材ADC00059-6,短视频,情绪共鸣,active
CR0000259,ADC00060,素材ADC00060-1,短视频,情绪共鸣,active
CR0000260,ADC00060,素材ADC00060-2,短视频,功能卖点,active
CR0000261,ADC00061,素材ADC00061-1,短视频,热点跟拍,active
CR0000262,ADC00061,素材ADC00061-2,短视频,达人推荐,active
CR0000263,ADC00062,素材ADC00062-1,短视频,热点跟拍,active
CR0000264,ADC00062,素材ADC00062-2,短视频,达人推荐,paused
CR0000265,ADC00063,素材ADC00063-1,短视频,功能卖点,paused
CR0000266,ADC00063,素材ADC00063-2,短视频,情绪共鸣,paused
CR0000267,ADC00063,素材ADC00063-3,短视频,热点跟拍,active
CR0000268,ADC00063,素材ADC00063-4,开屏,热点跟拍,active
CR0000269,ADC00064,素材ADC00064-1,短视频,达人推荐,paused
CR0000270,ADC00064,素材ADC00064-2,短视频,达人推荐,active
CR0000271,ADC00065,素材ADC00065-1,短视频,热点跟拍,active
CR0000272,ADC00065,素材ADC00065-2,图文,达人推荐,active
CR0000273,ADC00065,素材ADC00065-3,短视频,热点跟拍,active
CR0000274,ADC00066,素材ADC00066-1,短视频,情绪共鸣,paused
CR0000275,ADC00066,素材ADC00066-2,短视频,功能卖点,active
CR0000276,ADC00067,素材ADC00067-1,短视频,情绪共鸣,active
CR0000277,ADC00067,素材ADC00067-2,短视频,达人推荐,active
CR0000278,ADC00067,素材ADC00067-3,短视频,情绪共鸣,paused
CR0000279,ADC00067,素材ADC00067-4,图文,情绪共鸣,active
CR0000280,ADC00068,素材ADC00068-1,短视频,功能卖点,paused
CR0000281,ADC00068,素材ADC00068-2,图文,达人推荐,active
CR0000282,ADC00068,素材ADC00068-3,短视频,热点跟拍,active
CR0000283,ADC00069,素材ADC00069-1,图文,功能卖点,active
CR0000284,ADC00069,素材ADC00069-2,短视频,情绪共鸣,active
CR0000285,ADC00069,素材ADC00069-3,短视频,功能卖点,active
CR0000286,ADC00069,素材ADC00069-4,短视频,热点跟拍,active
CR0000287,ADC00069,素材ADC00069-5,图文,达人推荐,active
CR0000288,ADC00069,素材ADC00069-6,短视频,情绪共鸣,paused
CR0000289,ADC00070,素材ADC00070-1,短视频,情绪共鸣,active
CR0000290,ADC00070,素材ADC00070-2,短视频,情绪共鸣,active
CR0000291,ADC00070,素材ADC00070-3,图文,情绪共鸣,active
CR0000292,ADC00070,素材ADC00070-4,开屏,功能卖点,paused
CR0000293,ADC00070,素材ADC00070-5,短视频,热点跟拍,active
CR0000294,ADC00070,素材ADC00070-6,图文,功能卖点,active
CR0000295,ADC00071,素材ADC00071-1,图文,热点跟拍,active
CR0000296,ADC00071,素材ADC00071-2,短视频,达人推荐,active
CR0000297,ADC00071,素材ADC00071-3,图文,达人推荐,active
CR0000298,ADC00071,素材ADC00071-4,短视频,达人推荐,paused
CR0000299,ADC00071,素材ADC00071-5,图文,热点跟拍,paused
CR0000300,ADC00072,素材ADC00072-1,短视频,情绪共鸣,active
CR0000301,ADC00072,素材ADC00072-2,短视频,功能卖点,active
CR0000302,ADC00072,素材ADC00072-3,短视频,达人推荐,active
CR0000303,ADC00073,素材ADC00073-1,短视频,达人推荐,paused
CR0000304,ADC00073,素材ADC00073-2,短视频,达人推荐,active
CR0000305,ADC00073,素材ADC00073-3,短视频,达人推荐,active
CR0000306,ADC00073,素材ADC00073-4,短视频,热点跟拍,active
CR0000307,ADC00074,素材ADC00074-1,短视频,情绪共鸣,active
CR0000308,ADC00074,素材ADC00074-2,图文,情绪共鸣,active
CR0000309,ADC00075,素材ADC00075-1,短视频,达人推荐,active
CR0000310,ADC00075,素材ADC00075-2,短视频,达人推荐,active
CR0000311,ADC00075,素材ADC00075-3,短视频,热点跟拍,active
CR0000312,ADC00076,素材ADC00076-1,短视频,热点跟拍,paused
CR0000313,ADC00076,素材ADC00076-2,短视频,达人推荐,active
CR0000314,ADC00076,素材ADC00076-3,图文,功能卖点,active
CR0000315,ADC00077,素材ADC00077-1,短视频,情绪共鸣,active
CR0000316,ADC00077,素材ADC00077-2,短视频,情绪共鸣,active
CR0000317,ADC00077,素材ADC00077-3,图文,情绪共鸣,active
CR0000318,ADC00077,素材ADC00077-4,短视频,达人推荐,active
CR0000319,ADC00077,素材ADC00077-5,图文,达人推荐,active
CR0000320,ADC00078,素材ADC00078-1,短视频,情绪共鸣,active
CR0000321,ADC00078,素材ADC00078-2,图文,情绪共鸣,active
CR0000322,ADC00078,素材ADC00078-3,短视频,功能卖点,active
CR0000323,ADC00078,素材ADC00078-4,图文,功能卖点,active
CR0000324,ADC00078,素材ADC00078-5,短视频,达人推荐,active
CR0000325,ADC00079,素材ADC00079-1,短视频,达人推荐,active
CR0000326,ADC00079,素材ADC00079-2,短视频,情绪共鸣,active
CR0000327,ADC00080,素材ADC00080-1,短视频,情绪共鸣,active
CR0000328,ADC00080,素材ADC00080-2,图文,达人推荐,active
CR0000329,ADC00080,素材ADC00080-3,短视频,达人推荐,active
CR0000330,ADC00080,素材ADC00080-4,短视频,功能卖点,active
CR0000331,ADC00080,素材ADC00080-5,短视频,达人推荐,paused
CR0000332,ADC00080,素材ADC00080-6,短视频,功能卖点,active
CR0000333,ADC00081,素材ADC00081-1,短视频,热点跟拍,active
CR0000334,ADC00081,素材ADC00081-2,图文,热点跟拍,active
CR0000335,ADC00081,素材ADC00081-3,短视频,情绪共鸣,active
CR0000336,ADC00082,素材ADC00082-1,短视频,热点跟拍,active
CR0000337,ADC00082,素材ADC00082-2,短视频,达人推荐,paused
CR0000338,ADC00082,素材ADC00082-3,图文,情绪共鸣,active
CR0000339,ADC00082,素材ADC00082-4,图文,热点跟拍,active
CR0000340,ADC00082,素材ADC00082-5,短视频,情绪共鸣,active
CR0000341,ADC00083,素材ADC00083-1,短视频,功能卖点,active
CR0000342,ADC00083,素材ADC00083-2,短视频,情绪共鸣,active
CR0000343,ADC00083,素材ADC00083-3,短视频,达人推荐,active
CR0000344,ADC00083,素材ADC00083-4,图文,热点跟拍,active
CR0000345,ADC00084,素材ADC00084-1,图文,情绪共鸣,active
CR0000346,ADC00084,素材ADC00084-2,短视频,热点跟拍,active
CR0000347,ADC00084,素材ADC00084-3,短视频,情绪共鸣,active
CR0000348,ADC00085,素材ADC00085-1,短视频,功能卖点,active
CR0000349,ADC00085,素材ADC00085-2,短视频,达人推荐,active
CR0000350,ADC00085,素材ADC00085-3,图文,功能卖点,active
CR0000351,ADC00085,素材ADC00085-4,短视频,功能卖点,active
CR0000352,ADC00085,素材ADC00085-5,短视频,达人推荐,active
CR0000353,ADC00085,素材ADC00085-6,短视频,热点跟拍,active
CR0000354,ADC00086,素材ADC00086-1,短视频,达人推荐,active
CR0000355,ADC00086,素材ADC00086-2,短视频,情绪共鸣,paused
CR0000356,ADC00086,素材ADC00086-3,短视频,情绪共鸣,active
CR0000357,ADC00086,素材ADC00086-4,短视频,达人推荐,active
CR0000358,ADC00087,素材ADC00087-1,短视频,热点跟拍,paused
CR0000359,ADC00087,素材ADC00087-2,短视频,功能卖点,active
CR0000360,ADC00088,素材ADC00088-1,短视频,功能卖点,active
CR0000361,ADC00088,素材ADC00088-2,短视频,功能卖点,active
CR0000362,ADC00088,素材ADC00088-3,短视频,情绪共鸣,active
CR0000363,ADC00088,素材ADC00088-4,短视频,功能卖点,active
CR0000364,ADC00088,素材ADC00088-5,短视频,情绪共鸣,active
CR0000365,ADC00089,素材ADC00089-1,短视频,功能卖点,active
CR0000366,ADC00089,素材ADC00089-2,图文,功能卖点,active
CR0000367,ADC00089,素材ADC00089-3,图文,功能卖点,active
CR0000368,ADC00089,素材ADC00089-4,短视频,功能卖点,active
CR0000369,ADC00089,素材ADC00089-5,短视频,情绪共鸣,active
CR0000370,ADC00090,素材ADC00090-1,短视频,功能卖点,active
CR0000371,ADC00090,素材ADC00090-2,图文,热点跟拍,paused
CR0000372,ADC00090,素材ADC00090-3,短视频,情绪共鸣,active
CR0000373,ADC00090,素材ADC00090-4,短视频,情绪共鸣,active
CR0000374,ADC00091,素材ADC00091-1,短视频,热点跟拍,paused
CR0000375,ADC00091,素材ADC00091-2,短视频,达人推荐,active
CR0000376,ADC00091,素材ADC00091-3,开屏,热点跟拍,active
CR0000377,ADC00091,素材ADC00091-4,短视频,达人推荐,paused
CR0000378,ADC00091,素材ADC00091-5,短视频,情绪共鸣,active
CR0000379,ADC00092,素材ADC00092-1,短视频,情绪共鸣,active
CR0000380,ADC00092,素材ADC00092-2,短视频,热点跟拍,active
CR0000381,ADC00092,素材ADC00092-3,图文,热点跟拍,active
CR0000382,ADC00092,素材ADC00092-4,短视频,达人推荐,active
CR0000383,ADC00092,素材ADC00092-5,短视频,热点跟拍,active
CR0000384,ADC00093,素材ADC00093-1,开屏,达人推荐,active
CR0000385,ADC00093,素材ADC00093-2,短视频,功能卖点,paused
CR0000386,ADC00094,素材ADC00094-1,短视频,功能卖点,active
CR0000387,ADC00094,素材ADC00094-2,短视频,热点跟拍,active
CR0000388,ADC00094,素材ADC00094-3,短视频,达人推荐,paused
CR0000389,ADC00095,素材ADC00095-1,短视频,达人推荐,active
CR0000390,ADC00095,素材ADC00095-2,图文,热点跟拍,paused
CR0000391,ADC00096,素材ADC00096-1,短视频,情绪共鸣,active
CR0000392,ADC00096,素材ADC00096-2,图文,功能卖点,active
CR0000393,ADC00097,素材ADC00097-1,短视频,功能卖点,active
CR0000394,ADC00097,素材ADC00097-2,短视频,达人推荐,active
CR0000395,ADC00098,素材ADC00098-1,短视频,达人推荐,active
CR0000396,ADC00098,素材ADC00098-2,图文,情绪共鸣,paused
CR0000397,ADC00098,素材ADC00098-3,短视频,功能卖点,active
CR0000398,ADC00098,素材ADC00098-4,短视频,情绪共鸣,active
CR0000399,ADC00098,素材ADC00098-5,短视频,功能卖点,active
CR0000400,ADC00098,素材ADC00098-6,短视频,功能卖点,paused
CR0000401,ADC00099,素材ADC00099-1,短视频,热点跟拍,active
