adjustment_id,ad_campaign_id,adjusted_at,previous_budget,new_budget,adjustment_reason,operator_name
BA000141,ADC00068,2026-03-27 21:18:03,129408,140451,留存质量较好,渠道运营06
BA000142,ADC00027,2026-07-01 09:28:56,128491,88044,转化成本偏高,渠道运营07
BA000143,ADC00010,2026-06-26 18:51:47,166048,127115,阶段性加量,渠道运营08
BA000144,ADC00078,2026-05-24 20:27:55,246579,179477,阶段性加量,渠道运营01
BA000145,ADC00037,2026-04-21 05:09:49,158506,224104,留存质量较好,渠道运营02
BA000146,ADC00071,2026-02-09 18:39:14,52988,41133,转化成本偏高,渠道运营03
BA000147,ADC00003,2026-05-16 13:11:40,31079,27451,阶段性加量,渠道运营04
BA000148,ADC00023,2026-05-18 10:14:46,191468,147785,转化成本偏高,渠道运营05
BA000149,ADC00055,2026-03-07 22:00:02,239276,275756,留存质量较好,渠道运营06
BA000150,ADC00020,2026-04-04 20:25:03,181763,158501,素材衰退,渠道运营07
BA000151,ADC00004,2026-03-20 16:59:41,127554,152944,留存质量较好,渠道运营08
BA000152,ADC00018,2026-04-22 22:58:38,73557,50659,阶段性加量,渠道运营01
BA000153,ADC00093,2026-07-29 11:24:45,182268,161702,阶段性加量,渠道运营02
BA000154,ADC00076,2026-03-14 22:04:02,37275,52885,留存质量较好,渠道运营03
BA000155,ADC00091,2026-07-16 18:39:18,146764,122160,阶段性加量,渠道运营04
BA000156,ADC00033,2026-06-14 23:22:00,91669,77720,阶段性加量,渠道运营05
BA000157,ADC00085,2026-03-16 00:14:44,89912,112864,转化成本偏高,渠道运营06
BA000158,ADC00025,2026-06-15 09:36:45,173049,170310,留存质量较好,渠道运营07
BA000159,ADC00053,2026-05-29 19:19:40,81333,83277,留存质量较好,渠道运营08
BA000160,ADC00080,2026-05-05 14:41:44,247137,351709,阶段性加量,渠道运营01
BA000161,ADC00027,2026-06-26 22:39:23,128491,164375,留存质量较好,渠道运营02
BA000162,ADC00031,2026-04-02 01:55:28,112685,90708,阶段性加量,渠道运营03
BA000163,ADC00066,2026-05-11 21:43:57,120743,137035,转化成本偏高,渠道运营04
BA000164,ADC00079,2026-03-13 19:22:30,156156,147487,转化成本偏高,渠道运营05
BA000165,ADC00005,2026-04-08 22:12:55,55969,49197,阶段性加量,渠道运营06
BA000166,ADC00057,2026-06-04 14:05:48,247364,350394,留存质量较好,渠道运营07
BA000167,ADC00009,2026-03-30 06:37:10,248217,170387,阶段性加量,渠道运营08
BA000168,ADC00100,2026-01-30 04:09:28,211433,218386,转化成本偏高,渠道运营01
BA000169,ADC00092,2026-04-16 09:25:03,192262,248410,转化成本偏高,渠道运营02
BA000170,ADC00049,2026-07-04 19:42:59,167648,229143,转化成本偏高,渠道运营03
BA000171,ADC00010,2026-06-08 14:37:19,166048,229271,留存质量较好,渠道运营04
BA000172,ADC00005,2026-04-25 12:12:07,55969,56077,转化成本偏高,渠道运营05
BA000173,ADC00031,2026-03-29 14:42:02,112685,112546,留存质量较好,渠道运营06
BA000174,ADC00076,2026-03-08 08:48:52,37275,35659,转化成本偏高,渠道运营07
BA000175,ADC00097,2026-03-26 00:23:40,94362,121460,阶段性加量,渠道运营08
BA000176,ADC00031,2026-03-14 21:50:44,112685,107951,留存质量较好,渠道运营01
BA000177,ADC00052,2026-03-25 21:40:19,110371,84498,转化成本偏高,渠道运营02
BA000178,ADC00052,2026-03-26 02:51:47,110371,131045,留存质量较好,渠道运营03
BA000179,ADC00082,2026-05-11 03:25:16,77397,94967,转化成本偏高,渠道运营04
BA000180,ADC00016,2026-04-21 03:06:35,138797,169609,阶段性加量,渠道运营05
BA000181,ADC00096,2026-04-21 06:23:00,142909,133909,素材衰退,渠道运营06
BA000182,ADC00006,2026-04-18 05:21:46,247276,307688,留存质量较好,渠道运营07
BA000183,ADC00080,2026-05-30 06:30:44,247137,231321,素材衰退,渠道运营08
BA000184,ADC00028,2026-04-11 04:31:24,169677,150174,转化成本偏高,渠道运营01
BA000185,ADC00012,2026-03-15 16:43:43,79511,93916,阶段性加量,渠道运营02
BA000186,ADC00051,2026-06-20 15:38:50,58795,57361,转化成本偏高,渠道运营03
BA000187,ADC00100,2026-03-19 06:30:06,211433,211298,转化成本偏高,渠道运营04
BA000188,ADC00016,2026-02-19 03:40:11,138797,178790,阶段性加量,渠道运营05
BA000189,ADC00018,2026-05-01 19:10:42,73557,51227,留存质量较好,渠道运营06
BA000190,ADC00059,2026-07-23 22:20:29,134982,119233,转化成本偏高,渠道运营07
BA000191,ADC00066,2026-04-26 14:50:21,120743,92052,素材衰退,渠道运营08
BA000192,ADC00059,2026-06-20 01:56:26,134982,108722,留存质量较好,渠道运营01
BA000193,ADC00023,2026-06-20 00:04:25,191468,244011,留存质量较好,渠道运营02
BA000194,ADC00004,2026-03-12 18:40:53,127554,111236,转化成本偏高,渠道运营03
BA000195,ADC00037,2026-05-20 09:53:50,158506,208093,阶段性加量,渠道运营04
BA000196,ADC00053,2026-05-24 22:37:26,81333,91452,阶段性加量,渠道运营05
BA000197,ADC00087,2026-02-27 21:18:40,129307,128251,转化成本偏高,渠道运营06
BA000198,ADC00046,2026-06-14 10:39:37,35298,42815,素材衰退,渠道运营07
BA000199,ADC00011,2026-03-27 01:39:15,182749,236342,留存质量较好,渠道运营08
BA000200,ADC00059,2026-07-02 02:27:42,134982,115146,阶段性加量,渠道运营01
BA000201,ADC00055,2026-03-07 17:59:01,239276,187973,素材衰退,渠道运营02
BA000202,ADC00002,2026-02-25 16:22:21,125679,177956,阶段性加量,渠道运营03
BA000203,ADC00020,2026-05-06 00:06:55,181763,155395,素材衰退,渠道运营04
BA000204,ADC00096,2026-04-18 16:29:44,142909,203150,留存质量较好,渠道运营05
BA000205,ADC00067,2026-03-24 22:45:40,94903,125215,留存质量较好,渠道运营06
BA000206,ADC00067,2026-04-10 22:13:21,94903,114072,素材衰退,渠道运营07
BA000207,ADC00019,2026-08-09 08:38:31,241679,312613,转化成本偏高,渠道运营08
BA000208,ADC00044,2026-05-08 16:52:46,164337,226922,留存质量较好,渠道运营01
BA000209,ADC00082,2026-05-21 12:39:18,77397,102847,阶段性加量,渠道运营02
BA000210,ADC00005,2026-04-28 04:31:37,55969,44806,素材衰退,渠道运营03
BA000211,ADC00051,2026-06-02 23:26:29,58795,41459,留存质量较好,渠道运营04
BA000212,ADC00002,2026-04-10 03:20:08,125679,122678,留存质量较好,渠道运营05
BA000213,ADC00060,2026-03-10 12:58:43,55084,55672,留存质量较好,渠道运营06
BA000214,ADC00027,2026-06-06 08:52:55,128491,139338,阶段性加量,渠道运营07
BA000215,ADC00045,2026-05-01 02:15:32,185571,155921,转化成本偏高,渠道运营08
BA000216,ADC00093,2026-08-24 12:13:35,182268,171403,素材衰退,渠道运营01
BA000217,ADC00037,2026-05-31 06:26:51,158506,117942,素材衰退,渠道运营02
BA000218,ADC00048,2026-03-29 10:52:18,84606,77860,阶段性加量,渠道运营03
BA000219,ADC00086,2026-01-30 22:48:13,221283,314339,阶段性加量,渠道运营04
BA000220,ADC00042,2026-02-19 09:46:00,186366,196152,素材衰退,渠道运营05
BA000221,ADC00021,2026-04-17 19:41:46,100866,136239,阶段性加量,渠道运营06
BA000222,ADC00093,2026-08-05 21:05:31,182268,225218,转化成本偏高,渠道运营07
BA000223,ADC00072,2026-08-01 04:08:03,95831,102364,素材衰退,渠道运营08
BA000224,ADC00100,2026-03-20 11:06:24,211433,194504,转化成本偏高,渠道运营01
BA000225,ADC00041,2026-06-24 21:10:58,237970,274494,阶段性加量,渠道运营02
BA000226,ADC00062,2026-04-14 04:36:54,151310,142603,素材衰退,渠道运营03
BA000227,ADC00007,2026-06-27 22:37:54,46043,48804,转化成本偏高,渠道运营04
BA000228,ADC00049,2026-06-28 23:55:48,167648,196656,留存质量较好,渠道运营05
BA000229,ADC00070,2026-05-05 18:45:52,255137,224962,留存质量较好,渠道运营06
BA000230,ADC00081,2026-05-09 00:03:13,156922,187291,转化成本偏高,渠道运营07
BA000231,ADC00099,2026-04-30 01:20:56,90092,110811,留存质量较好,渠道运营08
BA000232,ADC00034,2026-04-14 02:38:21,58225,38124,留存质量较好,渠道运营01
BA000233,ADC00017,2026-04-03 11:34:09,60551,59083,留存质量较好,渠道运营02
BA000234,ADC00007,2026-06-09 22:49:42,46043,37403,阶段性加量,渠道运营03
BA000235,ADC00060,2026-03-10 13:03:46,55084,62084,留存质量较好,渠道运营04
BA000236,ADC00058,2026-07-20 10:37:27,115556,162554,转化成本偏高,渠道运营05
BA000237,ADC00084,2026-02-28 21:14:27,69425,49456,转化成本偏高,渠道运营06
BA000238,ADC00073,2026-06-16 00:10:11,159673,202398,转化成本偏高,渠道运营07
BA000239,ADC00040,2026-06-06 07:51:17,206930,223386,阶段性加量,渠道运营08
BA000240,ADC00044,2026-05-14 21:12:59,164337,157913,素材衰退,渠道运营01
BA000241,ADC00031,2026-04-01 07:32:31,112685,125365,素材衰退,渠道运营02
BA000242,ADC00023,2026-06-14 04:44:17,191468,215166,素材衰退,渠道运营03
BA000243,ADC00091,2026-08-25 11:04:39,146764,180510,阶段性加量,渠道运营04
BA000244,ADC00004,2026-02-14 20:20:31,127554,135722,转化成本偏高,渠道运营05
BA000245,ADC00021,2026-04-15 23:15:48,100866,128701,阶段性加量,渠道运营06
BA000246,ADC00082,2026-04-19 02:34:06,77397,91933,留存质量较好,渠道运营07
BA000247,ADC00100,2026-03-07 13:08:37,211433,265178,留存质量较好,渠道运营08
BA000248,ADC00063,2026-06-28 06:31:28,153514,147260,留存质量较好,渠道运营01
BA000249,ADC00026,2026-06-03 23:35:31,189899,229079,转化成本偏高,渠道运营02
BA000250,ADC00018,2026-04-25 07:10:57,73557,85230,素材衰退,渠道运营03
BA000251,ADC00095,2026-06-08 12:34:35,149030,211106,留存质量较好,渠道运营04
BA000252,ADC00001,2026-05-21 22:58:57,88175,109623,转化成本偏高,渠道运营05
BA000253,ADC00062,2026-03-04 06:28:28,151310,145036,阶段性加量,渠道运营06
BA000254,ADC00012,2026-03-29 06:15:48,79511,110709,转化成本偏高,渠道运营07
BA000255,ADC00065,2026-03-13 01:24:45,235092,174574,留存质量较好,渠道运营08
BA000256,ADC00070,2026-04-30 06:52:50,255137,351289,转化成本偏高,渠道运营01
BA000257,ADC00039,2026-04-25 00:14:50,190797,259804,阶段性加量,渠道运营02
BA000258,ADC00069,2026-04-01 11:27:52,250021,272026,阶段性加量,渠道运营03
BA000259,ADC00013,2026-03-15 08:57:03,189759,198424,阶段性加量,渠道运营04
BA000260,ADC00042,2026-04-01 23:51:22,186366,173322,阶段性加量,渠道运营05
BA000261,ADC00051,2026-06-29 10:55:47,58795,72259,素材衰退,渠道运营06
BA000262,ADC00045,2026-04-30 11:12:51,185571,165470,留存质量较好,渠道运营07
BA000263,ADC00028,2026-05-20 12:45:26,169677,140362,转化成本偏高,渠道运营08
BA000264,ADC00015,2026-03-17 08:04:10,258566,363431,转化成本偏高,渠道运营01
BA000265,ADC00012,2026-04-03 04:53:31,79511,107113,阶段性加量,渠道运营02
BA000266,ADC00007,2026-06-09 01:11:33,46043,43203,阶段性加量,渠道运营03
BA000267,ADC00047,2026-01-20 13:53:07,54444,47081,转化成本偏高,渠道运营04
BA000268,ADC00002,2026-04-16 02:48:27,125679,90596,留存质量较好,渠道运营05
BA000269,ADC00093,2026-06-26 14:50:36,182268,211407,素材衰退,渠道运营06
BA000270,ADC00077,2026-04-12 00:33:54,96135,81211,留存质量较好,渠道运营07
BA000271,ADC00031,2026-03-24 05:28:37,112685,92902,转化成本偏高,渠道运营08
BA000272,ADC00039,2026-03-09 17:55:42,190797,237743,素材衰退,渠道运营01
BA000273,ADC00048,2026-03-17 02:40:25,84606,64702,留存质量较好,渠道运营02
BA000274,ADC00047,2026-01-11 14:18:25,54444,75896,阶段性加量,渠道运营03
BA000275,ADC00014,2026-02-23 17:51:12,45041,32824,转化成本偏高,渠道运营04
BA000276,ADC00008,2026-02-18 16:28:59,47633,44821,素材衰退,渠道运营05
BA000277,ADC00018,2026-05-22 06:19:36,73557,68929,阶段性加量,渠道运营06
BA000278,ADC00048,2026-02-26 09:42:45,84606,65040,阶段性加量,渠道运营07
BA000279,ADC00053,2026-07-04 07:45:28,81333,101720,转化成本偏高,渠道运营08
BA000280,ADC00086,2026-02-28 03:55:45,221283,237090,转化成本偏高,渠道运营01
BA000281,ADC00100,2026-02-07 16:58:26,211433,206460,留存质量较好,渠道运营02
BA000282,ADC00043,2026-05-29 10:41:46,85886,56423,素材衰退,渠道运营03
BA000283,ADC00057,2026-06-24 11:22:18,247364,187568,转化成本偏高,渠道运营04
BA000284,ADC00083,2026-05-18 02:45:59,83763,93336,转化成本偏高,渠道运营05
BA000285,ADC00093,2026-08-20 15:31:51,182268,144431,转化成本偏高,渠道运营06
BA000286,ADC00043,2026-05-19 10:04:07,85886,60906,留存质量较好,渠道运营07
BA000287,ADC00016,2026-03-17 04:33:45,138797,147884,素材衰退,渠道运营08
BA000288,ADC00018,2026-05-08 10:34:19,73557,67960,素材衰退,渠道运营01
BA000289,ADC00060,2026-02-21 12:07:25,55084,70843,留存质量较好,渠道运营02
BA000290,ADC00056,2026-04-03 01:31:51,232275,249845,阶段性加量,渠道运营03
BA000291,ADC00020,2026-04-29 17:08:14,181763,197126,阶段性加量,渠道运营04
BA000292,ADC00052,2026-03-14 14:26:53,110371,137233,转化成本偏高,渠道运营05
BA000293,ADC00091,2026-07-16 09:21:55,146764,163635,阶段性加量,渠道运营06
BA000294,ADC00036,2026-07-17 09:26:48,122832,132442,留存质量较好,渠道运营07
BA000295,ADC00055,2026-03-05 18:55:37,239276,291048,阶段性加量,渠道运营08
BA000296,ADC00075,2026-05-03 10:46:01,176772,214596,素材衰退,渠道运营01
BA000297,ADC00064,2026-03-26 22:09:03,204874,139834,转化成本偏高,渠道运营02
BA000298,ADC00024,2026-03-28 00:37:20,81180,56225,留存质量较好,渠道运营03
BA000299,ADC00050,2026-04-22 17:08:07,228125,169623,素材衰退,渠道运营04
BA000300,ADC00019,2026-07-15 03:38:44,241679,317349,素材衰退,渠道运营05
BA000301,ADC00019,2026-08-07 09:13:12,241679,306515,留存质量较好,渠道运营06
BA000302,ADC00017,2026-03-12 06:49:43,60551,64441,阶段性加量,渠道运营07
BA000303,ADC00034,2026-04-07 15:29:09,58225,74574,转化成本偏高,渠道运营08
BA000304,ADC00013,2026-03-10 06:07:21,189759,245080,留存质量较好,渠道运营01
BA000305,ADC00016,2026-04-09 08:12:08,138797,193067,素材衰退,渠道运营02
BA000306,ADC00040,2026-05-12 14:54:26,206930,283853,转化成本偏高,渠道运营03
BA000307,ADC00048,2026-04-01 08:17:47,84606,104415,素材衰退,渠道运营04
BA000308,ADC00028,2026-04-25 17:57:59,169677,180153,转化成本偏高,渠道运营05
BA000309,ADC00046,2026-06-22 03:30:13,35298,24125,转化成本偏高,渠道运营06
BA000310,ADC00016,2026-04-15 17:01:34,138797,112757,素材衰退,渠道运营07
BA000311,ADC00037,2026-05-29 17:07:27,158506,214511,留存质量较好,渠道运营08
BA000312,ADC00015,2026-03-08 17:26:56,258566,325930,阶段性加量,渠道运营01
BA000313,ADC00074,2026-05-12 08:44:53,104337,104271,素材衰退,渠道运营02
BA000314,ADC00029,2026-07-22 08:42:34,137551,180582,素材衰退,渠道运营03
BA000315,ADC00056,2026-04-13 02:22:06,232275,234788,留存质量较好,渠道运营04
